Time,nC,r5,r6,nCmfe5,ac,ac5,zz,zz5,fe,fe5,bay5,bay5l,bay6,bay6l,other,growth rate,fR5,bifurcations
0.00031031031031,24.2,0.1,7.0,24.0,0.0,0.0,5.9,0.2,5.8,0.1,0.0,0.0,0.0,0.0,0.0,1465.2,0.0,0.0
0.000315315315315,24.2,0.1,7.0,24.0,0.0,0.0,5.9,0.2,5.8,0.1,0.0,0.0,0.0,0.0,0.0,1465.2,0.0,0.0
0.00032032032032,24.2,0.1,7.0,24.0,0.0,0.0,5.9,0.2,5.8,0.1,0.0,0.0,0.0,0.0,0.0,1465.2,0.0,0.0
0.000325325325325,24.2,0.1,7.0,24.0,0.0,0.0,5.9,0.2,5.8,0.1,0.0,0.0,0.0,0.0,0.0,1465.2,0.0,0.0
0.00033033033033,24.2,0.1,7.0,24.0,0.0,0.0,5.9,0.2,5.8,0.1,0.0,0.0,0.0,0.0,0.0,1731.6,0.0,0.0
0.000335335335335,24.2,0.1,7.0,24.0,0.0,0.0,5.9,0.2,5.8,0.1,0.0,0.0,0.0,0.0,0.0,1731.6,0.0,0.0
0.00034034034034,24.2,0.1,7.0,24.0,0.0,0.0,5.9,0.2,5.8,0.1,0.0,0.0,0.0,0.0,0.0,1465.2,0.0,0.0
0.000345345345345,24.2,0.1,7.0,24.0,0.0,0.0,5.9,0.2,5.8,0.1,0.0,0.0,0.0,0.0,0.0,1465.2,0.0,0.0
0.00035035035035,24.2,0.1,7.0,24.0,0.0,0.0,5.9,0.2,5.8,0.1,0.0,0.0,0.0,0.0,0.0,1465.2,0.0,0.0
0.000355355355355,24.2,0.1,7.0,24.0,0.0,0.0,5.9,0.2,5.8,0.1,0.0,0.0,0.0,0.0,0.0,1198.8,0.0,0.0
0.00036036036036,24.2,0.1,7.0,24.0,0.0,0.0,5.9,0.2,5.8,0.1,0.0,0.0,0.0,0.0,0.0,1198.8,0.0,0.0
0.000365365365365,24.2,0.1,7.0,24.0,0.0,0.0,5.9,0.2,5.8,0.1,0.0,0.0,0.0,0.0,0.0,1198.8,0.0,0.0
0.00037037037037,24.2,0.1,7.0,24.0,0.0,0.0,5.9,0.2,5.8,0.1,0.0,0.0,0.0,0.0,0.0,1198.8,0.0,0.0
0.000375375375375,24.0666666667,0.0333333333333,7.0,24.0,0.0,0.0,5.96666666667,0.0666666666667,5.93333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,1198.8,0.0,0.0
